id,name,lon,lat
US.NY.AB,Albany,-73.97296,42.60025
US.NY.AL,Allegany,-78.02747,42.25729
US.NY.BN,Bronx,-73.86874,40.85394
US.NY.BO,Broome,-75.81896,42.15988
US.NY.CG,Cattaraugus,-78.67946,42.24835
US.NY.CY,Cayuga,-76.55367,42.91594
US.NY.CQ,Chautauqua,-79.36759,42.22795
US.NY.CM,Chemung,-76.76069,42.14219
US.NY.CH,Chenango,-75.61041,42.4926
US.NY.CL,Clinton,-73.68053,44.74617
US.NY.CU,Columbia,-73.6329,42.24959
US.NY.CD,Cortland,-76.07088,42.59505
US.NY.DE,Delaware,-74.96552,42.19813
US.NY.DU,Dutchess,-73.74369,41.76513
US.NY.ER,Erie,-78.73036,42.76204
US.NY.ES,Essex,-73.77442,44.11754
US.NY.FR,Franklin,-74.30461,44.59159
US.NY.FU,Fulton,-74.42546,43.11345
US.NY.GE,Genesee,-78.1943,43.00121
US.NY.GR,Greene,-74.12177,42.27738
US.NY.HA,Hamilton,-74.49952,43.6608
US.NY.HE,Herkimer,-74.96344,43.41739
US.NY.JE,Jefferson,-75.91293,44.04133
US.NY.KI,Kings,-73.94905,40.64516
,Lake Ontario,-77.39677,43.57834
US.NY.LE,Lewis,-75.44979,43.78539
US.NY.LI,Livingston,-77.77476,42.72783
US.NY.MA,Madison,-75.66919,42.91236
US.NY.MR,Monroe,-77.69732,43.14631
US.NY.MT,Montgomery,-74.44033,42.90097
US.NY.NA,Nassau,-73.58826,40.73978
US.NY.NE,New York,-73.96903,40.78263
US.NY.NI,Niagara,-78.74225,43.20191
US.NY.OD,Oneida,-75.43625,43.2417
US.NY.OG,Onondaga,-76.19452,43.007
US.NY.OR,Ontario,-77.29976,42.8519
US.NY.OE,Orange,-74.30576,41.40195
US.NY.OL,Orleans,-78.23222,43.25285
US.NY.OS,Oswego,-76.14207,43.4269
US.NY.OO,Otsego,-75.03147,42.63268
US.NY.PU,Putnam,-73.74978,41.42605
US.NY.QU,Queens,-73.82043,40.70727
US.NY.RE,Rensselaer,-73.50993,42.71186
US.NY.RI,Richmond,-74.15345,40.5808
US.NY.RO,Rockland,-74.02336,41.15224
US.NY.SI,Saint Lawrence,-75.06382,44.49002
US.NY.SR,Saratoga,-73.86656,43.10757
US.NY.SN,Schenectady,-74.05845,42.81808
US.NY.SO,Schoharie,-74.4425,42.5874
US.NY.SU,Schuyler,-76.87505,42.39449
US.NY.SC,Seneca,-76.82223,42.78062
US.NY.ST,Steuben,-77.384,42.26797
US.NY.SF,Suffolk,-72.85904,40.87659
US.NY.SL,Sullivan,-74.76877,41.71618
US.NY.TI,Tioga,-76.30702,42.17026
US.NY.TO,Tompkins,-76.47396,42.4516
US.NY.UL,Ulster,-74.25867,41.88824
US.NY.WR,Warren,-73.85247,43.56135
US.NY.WS,Washington,-73.43542,43.3152
US.NY.WN,Wayne,-77.03051,43.15568
US.NY.WE,Westchester,-73.75701,41.16213
US.NY.WM,Wyoming,-78.22305,42.70232
US.NY.YA,Yates,-77.1043,42.6335
